query_id	doc_id	score
0	705	1
0	49282	1
1	707	1
2	707	1
3	504	1
3	795	1
3	797	1
3	804	1
3	805	1
4	707	1
5	705	1
5	707	1
6	707	1
7	707	1
8	40387	1
9	41991	1
10	10939	1
11	11073	1
11	11089	1
12	11073	1
12	11078	1
12	11084	1
13	11060	1
13	11073	1
13	11091	1
14	990	1
15	11111	1
16	5050	1
16	5100	1
17	99	1
17	11099	1
17	11121	1
18	11099	1
19	46292	1
19	52954	1
20	30882	1
21	22197	1
21	22632	1
22	30895	1
23	11116	1
24	11099	1
25	11076	1
25	11085	1
26	11105	1
26	11109	1
27	984	1
27	990	1
27	993	1
27	11080	1
28	30877	1
29	984	1
30	11084	1
31	11088	1
32	988	1
32	11084	1
33	11079	1
33	11097	1
33	11106	1
34	11084	1
35	11105	1
35	11109	1
36	11091	1
37	573	1
37	11063	1
37	11084	1
37	11088	1
38	573	1
38	11063	1
38	11084	1
38	11088	1
39	990	1
39	992	1
40	11091	1
41	11104	1
41	11110	1
42	11091	1
43	11084	1
43	11087	1
44	11080	1
44	11081	1
45	11104	1
45	11110	1
46	984	1
46	985	1
47	984	1
47	985	1
47	986	1
47	11092	1
48	1152	1
49	1153	1
49	16820	1
50	1154	1
51	1155	1
52	1156	1
53	1157	1
54	16818	1
55	837	1
56	21645	1
57	23572	1
58	16803	1
59	16804	1
60	16805	1
61	16806	1
62	16810	1
62	16811	1
62	16812	1
62	16813	1
62	16814	1
62	16815	1
62	16816	1
63	16817	1
63	16819	1
64	16818	1
65	16821	1
66	16822	1
67	16823	1
68	16824	1
69	16790	1
70	16791	1
71	16792	1
72	16794	1
73	16796	1
74	1210	1
74	1215	1
75	1115	1
75	1129	1
75	1133	1
75	1210	1
76	1133	1
76	1216	1
77	1133	1
77	1216	1
78	1148	1
78	1225	1
79	1210	1
79	1225	1
80	1171	1
80	1210	1
81	1210	1
81	1222	1
82	1115	1
82	1210	1
82	1222	1
83	1147	1
83	1210	1
84	1148	1
84	1210	1
85	1133	1
85	1214	1
85	24512	1
86	1133	1
86	1214	1
86	24512	1
87	1223	1
87	24646	1
88	1133	1
88	1210	1
89	1230	1
90	1132	1
90	1133	1
90	1223	1
90	1231	1
91	1168	1
91	1171	1
91	1210	1
92	1153	1
92	1173	1
92	1224	1
92	10687	1
92	23390	1
93	1153	1
93	1224	1
93	9280	1
94	9263	1
94	23397	1
95	23399	1
96	1133	1
96	1224	1
97	1232	1
97	1235	1
97	1236	1
98	1232	1
98	1237	1
99	1234	1
99	1237	1
99	10889	1
100	1234	1
100	1237	1
101	1232	1
102	1215	1
102	1234	1
103	1215	1
103	1234	1
104	1215	1
104	1234	1
105	1215	1
105	1234	1
106	1234	1
107	1233	1
107	1236	1
108	1233	1
108	1236	1
109	1234	1
109	1237	1
110	1233	1
110	1236	1
111	1213	1
112	830	1
112	1238	1
112	1239	1
113	830	1
113	1238	1
113	1239	1
114	1219	1
114	1240	1
115	830	1
115	1238	1
115	1239	1
116	1240	1
117	1241	1
117	1242	1
118	1241	1
118	1242	1
119	1243	1
120	1243	1
121	1244	1
122	1244	1
123	1244	1
123	1248	1
124	1145	1
124	1244	1
125	1245	1
126	1245	1
126	1248	1
127	1245	1
127	1246	1
127	1248	1
128	1245	1
128	1246	1
128	1248	1
129	1247	1
130	1214	1
131	1214	1
132	1249	1
132	1250	1
133	1251	1
134	1251	1
135	1252	1
135	1253	1
135	1254	1
136	1253	1
137	1253	1
138	1253	1
139	939	1
139	1215	1
139	1243	1
139	1252	1
139	1253	1
140	1218	1
140	1252	1
140	1253	1
141	1176	1
141	1252	1
141	4118	1
142	1252	1
143	1252	1
143	42878	1
144	1252	1
144	8365	1
144	31875	1
145	762	1
145	1215	1
145	8441	1
145	55122	1
146	1245	1
146	1246	1
146	1248	1
146	25197	1
147	1210	1
148	1210	1
149	1210	1
150	1210	1
151	1210	1
151	1230	1
152	1210	1
153	761	1
153	1210	1
154	1215	1
154	1220	1
155	1210	1
155	1212	1
155	1213	1
156	1210	1
156	1212	1
156	1213	1
157	1210	1
157	1212	1
157	1213	1
158	1132	1
158	1133	1
158	1210	1
159	1240	1
159	1243	1
160	1241	1
160	1242	1
160	1243	1
161	1214	1
161	1243	1
162	1255	1
162	1256	1
163	1255	1
163	1256	1
163	8439	1
164	1255	1
164	1256	1
165	441	1
166	442	1
167	443	1
168	444	1
169	445	1
170	446	1
171	447	1
172	448	1
173	449	1
174	450	1
175	451	1
176	452	1
177	453	1
178	454	1
179	429	1
179	455	1
180	430	1
180	455	1
181	431	1
181	455	1
182	432	1
182	455	1
183	433	1
183	455	1
184	435	1
184	455	1
185	440	1
185	455	1
186	441	1
187	6	1
188	21645	1
189	21645	1
190	432	1
190	455	1
191	39	1
192	114	1
193	831	1
194	21600	1
194	21602	1
195	21612	1
196	21612	1
197	22400	1
198	441	1
199	444	1
200	445	1
201	48	1
202	46	1
203	114	1
204	114	1
205	185	1
205	193	1
206	187	1
206	193	1
207	188	1
207	189	1
207	193	1
207	837	1
207	19125	1
208	188	1
208	193	1
209	190	1
209	193	1
210	191	1
210	193	1
211	192	1
211	193	1
212	189	1
212	36542	1
213	185	1
214	2	1
214	188	1
214	19125	1
215	522	1
216	33	1
216	122	1
217	34560	1
218	130	1
218	190	1
218	193	1
219	185	1
219	193	1
220	185	1
